"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5314","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","65","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","7.265255","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","5.901111","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","2.582345","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","5.442962","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","5.415688","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","15","16","1","39.248608","0","16"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","6.572059","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","42","44","6","80.492599","0","44"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","2125.458496","0","100"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","14.778559","0","2"
"/Game/kool/uste_pildid/lagi2x_Mat.lagi2x_Mat","0","26","27","1","114.438721","0","27"
"/Game/kool/punasedseinad.punasedseinad","0","38","38","1","221.700226","12","62"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","24","25","1","64.496078","0","25"
"/Game/kool/uste_pildid/IMG_2182_Mat.IMG_2182_Mat","0","12","12","1","32.650909","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","6.518863","0","2"
"/InterchangeAssets/gltf/M_Default.M_Default","0","266","280","7","1512.330200","0","280"
"/Game/kool/uste_pildid/IMG_2196_Mat.IMG_2196_Mat","0","12","12","1","32.932095","0","12"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","28","28","1","76.791740","0","28"
"/Game/kool/seinapeegel.seinapeegel","0","12","12","1","29.056667","0","12"
"/Game/kool/seelampmerid.seelampmerid","0","12","12","1","28.117159","0","12"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","24","24","1","56.467705","0","24"
"/Engine/Engine_MI_Shaders/M_Shader_SimpleTranslucent.M_Shader_SimpleTranslucent","0","10","10","1","20.150299","0","10"
"/Game/kool/klaas.klaas","0","18","18","1","90.924416","0","18"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","0","23","23","1","50.213673","0","23"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","236","248","6","1097.474243","0","248"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","171.806305","0","63"
